tech,scope,firms,measure,mean,ci_low,ci_high,base_mean
aps,all,6,network_profit,-22100205.947332762,-49663092.23146203,5462680.3367965035,42097347577.692
aps,all,6,network_profit_with_inventory,20025399.191277314,-289911.0033617243,40340709.38591635,41399307504.953445
aps,all,6,satisfaction_index,0.0008167816059385139,0.0006667934252216543,0.0009667697866553736,0.9614914698367085
aps,all,6,fill_rate,0.0016259222924293012,0.0013248378379848728,0.0019270067468737295,0.9835936735168377
aps,all,6,retail_on_time_rate,3.1039575284086406e-05,-3.600077898968626e-05,9.807992955785907e-05,0.9134991801295925
aps,all,6,quality_mean,-2.7457064306809127e-05,-7.542687474092899e-05,2.0512746127310733e-05,0.9782243951970597
aps,all,6,co2_kg,9981226.736522611,6247024.476179365,13715428.996865857,2975435457.861808
aps,all,6,costs_tech,13824000.0,13824000.0,13824000.0,0.0
aps,all,6,costs_holding,55441407.726999976,51086840.418581635,59795975.03541832,1212962200.4356668
aps,all,6,costs_shipping,18509185.55699997,12107609.059851417,24910762.054148525,4516546662.023
aps,all,6,costs_stockout,-31329603.283333324,-37134633.29081962,-25524573.275847025,316103452.5773334
aps,all,6,scrap_value,31195560.32066668,28615904.425391246,33775216.215942115,2534818648.414666
aps,all,6,costs_handling,4292.920666666655,3558.993242434097,5026.848090899213,2161722.944
aps,all,6,bullwhip_DC,-0.025716350263331744,-0.03980097206116126,-0.01163172846550223,8.097005523326827
aps,all,6,bullwhip_MFG,-1.3043030268735374,-1.6117848724921582,-0.9968211812549165,23.944031385413812
aps,all,6,bullwhip_CM,-10.569916133246519,-12.78460574882513,-8.355226517667907,106.60575902029146
aps,tier,2,network_profit,-14821387.151666006,-37237206.36726129,7594432.063929277,42097347577.692
aps,tier,2,network_profit_with_inventory,21707056.82319336,8685880.045276461,34728233.60111026,41399307504.953445
aps,tier,2,satisfaction_index,0.0005787498787221697,0.00046762756107873434,0.0006898721963656051,0.9614914698367085
aps,tier,2,fill_rate,0.001129182888531166,0.0009087275695588905,0.0013496382075034415,0.9835936735168377
aps,tier,2,retail_on_time_rate,1.468846934255715e-05,-4.7539617694840176e-05,7.691655637995447e-05,0.9134991801295925
aps,tier,2,quality_mean,4.875946826906249e-05,1.0187941209360351e-05,8.733099532876463e-05,0.9782243951970597
aps,tier,2,co2_kg,5916194.948107163,3483724.191567238,8348665.704647088,2975435457.861808
aps,tier,2,costs_tech,7680000.0,7680000.0,7680000.0,0.0
aps,tier,2,costs_holding,32015320.345333323,28616119.13286131,35414521.55780534,1212962200.4356668
aps,tier,2,costs_shipping,9894560.526000086,6109445.762820247,13679675.289179925,4516546662.023
aps,tier,2,costs_stockout,-21758250.512666665,-26008494.038076997,-17508006.987256333,316103452.5773334
aps,tier,2,scrap_value,20100967.242333364,17579752.360253986,22622182.12441274,2534818648.414666
aps,tier,2,costs_handling,3098.281666666657,2498.4475920393716,3698.115741293943,2161722.944
aps,tier,2,bullwhip_DC,-0.014527572820014711,-0.0257235966239465,-0.0033315490160829245,8.097005523326827
aps,tier,2,bullwhip_MFG,-0.7625640363578498,-1.000136256532812,-0.5249918161828875,23.944031385413812
aps,tier,2,bullwhip_CM,-6.748704995930049,-8.073503484466325,-5.423906507393772,106.60575902029146
blockchain,all,34,network_profit,688552083.0996668,686320311.94424,690783854.2550937,42097347577.692
blockchain,all,34,network_profit_with_inventory,705581569.3397634,703019800.0661923,708143338.6133345,41399307504.953445
blockchain,all,34,satisfaction_index,0.002098096149446271,0.0020908096374158544,0.002105382661476688,0.9614914698367085
blockchain,all,34,fill_rate,2.930693120236268e-06,2.878799344667682e-07,5.573506306005768e-06,0.9835936735168377
blockchain,all,34,retail_on_time_rate,1.8707267641896823e-06,-1.954909468578217e-06,5.696362996957582e-06,0.9134991801295925
blockchain,all,34,quality_mean,0.010480347924284346,0.010445389865967818,0.010515305982600875,0.9782243951970597
blockchain,all,34,co2_kg,100280.22249120077,15248.896272464102,185311.54870993743,2975435457.861808
blockchain,all,34,costs_tech,10751999.94,10751999.94,10751999.94,0.0
blockchain,all,34,costs_holding,22620738.528666656,22051517.747806292,23189959.30952702,1212962200.4356668
blockchain,all,34,costs_shipping,125480.853666687,-15841.474475276133,266803.18180865014,4516546662.023
blockchain,all,34,costs_stockout,-56456.42100000183,-107373.25540246419,-5539.586597539477,316103452.5773334
blockchain,all,34,scrap_value,-1055495455.9186667,-1059147424.8434532,-1051843486.9938803,2534818648.414666
blockchain,all,34,costs_handling,6.873666666618859,0.7542557798181448,12.993077553419573,2161722.944
blockchain,all,34,bullwhip_DC,0.00016356587022642682,-0.00019091700417076177,0.0005180487446236154,8.097005523326827
blockchain,all,34,bullwhip_MFG,-0.0030541409541809134,-0.0061586935549107925,5.041164654896605e-05,23.944031385413812
blockchain,all,34,bullwhip_CM,-0.018933238491995515,-0.12586402174022654,0.08799754475623552,106.60575902029146
control_tower,all,48,network_profit,108221448.07533391,80503305.61218154,135939590.53848627,42097347577.692
control_tower,all,48,network_profit_with_inventory,65431518.34060516,45393949.451521635,85469087.22968869,41399307504.953445
control_tower,all,48,satisfaction_index,0.0004583657318581902,0.00031434270265136147,0.0006023887610650189,0.9614914698367085
control_tower,all,48,fill_rate,0.0008179020927282103,0.0005400069152290716,0.001095797270227349,0.9835936735168377
control_tower,all,48,retail_on_time_rate,1.8771906790948645e-05,-4.4850465447536517e-05,8.23942790294338e-05,0.9134991801295925
control_tower,all,48,quality_mean,0.00021891556728388754,0.0001739332131861766,0.0002638979213815985,0.9782243951970597
control_tower,all,48,co2_kg,726616.078434356,-2320819.8415905843,3774051.9984592963,2975435457.861808
control_tower,all,48,costs_tech,35072000.15999999,35072000.15999999,35072000.15999999,0.0
control_tower,all,48,costs_holding,-30686521.937333338,-36001543.59793174,-25371500.276734933,1212962200.4356668
control_tower,all,48,costs_shipping,-3633079.1020001094,-9625539.80665351,2359381.6026532925,4516546662.023
control_tower,all,48,costs_stockout,-15757926.185000002,-21112286.246201646,-10403566.12379836,316103452.5773334
control_tower,all,48,scrap_value,-18583910.830333374,-22296471.47238263,-14871350.188284118,2534818648.414666
control_tower,all,48,costs_handling,2407.981999999952,1682.9386309571858,3133.025369042719,2161722.944
control_tower,all,48,bullwhip_DC,-2.3024063841601228,-2.3701778864597567,-2.234634881860489,8.097005523326827
control_tower,all,48,bullwhip_MFG,-13.00270767096689,-13.568498591738809,-12.436916750194971,23.944031385413812
control_tower,all,48,bullwhip_CM,-77.99145576567575,-81.94151856738036,-74.04139296397115,106.60575902029146
control_tower,tier,12,network_profit,16652766.952667745,-3364863.6880010646,36670397.59333655,42097347577.692
control_tower,tier,12,network_profit_with_inventory,23124033.920376077,8223602.150050852,38024465.690701306,41399307504.953445
control_tower,tier,12,satisfaction_index,0.0004909371426914425,0.00037135021344220103,0.0006105240719406841,0.9614914698367085
