rate,arm,measure,mean,ci_low,ci_high
0.0,none_vs_calm,network_profit_with_inventory,0.0,0.0,0.0
0.0,none_vs_calm,fill_rate,0.0,0.0,0.0
0.0,none_vs_calm,satisfaction_index,0.0,0.0,0.0
0.0,none_vs_calm,retail_on_time_rate,0.0,0.0,0.0
0.0,none_vs_calm,costs_stockout,0.0,0.0,0.0
0.0,none_vs_calm,costs_tech,0.0,0.0,0.0
0.0,none_vs_calm,adoptions,0.0,0.0,0.0
0.0,risk_intel,network_profit_with_inventory,-7304533.333333333,-7496456.206285083,-7112610.460381583
0.0,risk_intel,fill_rate,0.0,0.0,0.0
0.0,risk_intel,satisfaction_index,0.0,0.0,0.0
0.0,risk_intel,retail_on_time_rate,0.0,0.0,0.0
0.0,risk_intel,costs_stockout,0.0,0.0,0.0
0.0,risk_intel,costs_tech,7304533.333333333,7112610.460381583,7496456.206285083
0.0,risk_intel,adoptions,10.0,10.0,10.0
0.0,aps,network_profit_with_inventory,10269993.385343933,-6131589.849503871,26671576.620191738
0.0,aps,fill_rate,0.0010081582667011166,0.0007079200288232518,0.0013083965045789813
0.0,aps,satisfaction_index,0.0005098717349506436,0.00036304926594920374,0.0006566942039520835
0.0,aps,retail_on_time_rate,2.988936086458412e-05,-3.367029734698462e-05,9.344901907615285e-05
0.0,aps,costs_stockout,-19427477.613,-25216968.753263175,-13637986.472736828
0.0,aps,costs_tech,13145400.0,12890579.643954398,13400220.356045602
0.0,aps,adoptions,6.0,6.0,6.0
0.0,control_tower,network_profit_with_inventory,33233708.71766917,16530118.688907083,49937298.74643126
0.0,control_tower,fill_rate,0.000826075321795039,0.00058443986279925,0.001067710780790828
0.0,control_tower,satisfaction_index,0.0004309533161711269,0.00030709911097781593,0.0005548075213644379
0.0,control_tower,retail_on_time_rate,-1.3838528142640084e-05,-5.8849888598543616e-05,3.1172832313263455e-05
0.0,control_tower,costs_stockout,-15916390.611,-20572907.519447867,-11259873.702552132
0.0,control_tower,costs_tech,33291000.15999999,31778681.76389049,34803318.55610949
0.0,control_tower,adoptions,48.0,48.0,48.0
0.0,follow,network_profit_with_inventory,274273338.71149445,237768701.59034398,310777975.83264494
0.0,follow,fill_rate,0.0005966513853048916,0.000304262195631762,0.0008890405749780213
0.0,follow,satisfaction_index,0.00044784511470566575,0.000292519349552848,0.0006031708798584835
0.0,follow,retail_on_time_rate,-4.2685832043698465e-06,-5.026212303936267e-05,4.172495663062297e-05
0.0,follow,costs_stockout,-11496066.89666667,-17127893.407257587,-5864240.386075755
0.0,follow,costs_tech,72090516.81266667,70688963.3039702,73492070.32136314
0.0,follow,adoptions,155.8,149.09347791111253,162.5065220888875
0.0,hybrid,network_profit_with_inventory,269212514.41390914,234324901.71498445,304100127.11283386
0.0,hybrid,fill_rate,0.0010280057584849585,0.0007118215091987238,0.001344190007771193
0.0,hybrid,satisfaction_index,0.0006624279029905515,0.0004951131515030954,0.0008297426544780077
0.0,hybrid,retail_on_time_rate,3.353979900614738e-06,-4.8368043743600086e-05,5.507600354482956e-05
0.0,hybrid,costs_stockout,-19808915.678999998,-25899160.63461463,-13718670.723385364
0.0,hybrid,costs_tech,91858650.11766668,90323374.95823754,93393925.27709581
0.0,hybrid,adoptions,174.46666666666667,168.03055616163724,180.9027771716961
0.0,hybrid_robot,network_profit_with_inventory,296732188.18078333,261492831.86223197,331971544.4993347
0.0,hybrid_robot,fill_rate,0.0017364820534252663,0.0014338202848627347,0.002039143821987798
0.0,hybrid_robot,satisfaction_index,0.0031597594899787974,0.002812158343270386,0.0035073606366872088
0.0,hybrid_robot,retail_on_time_rate,0.0071487121047648355,0.006278296789213764,0.008019127420315908
0.0,hybrid_robot,costs_stockout,-33457245.18766667,-39287574.46680346,-27626915.908529874
0.0,hybrid_robot,costs_tech,109774916.80666667,108287987.7722498,111261845.84108354
0.0,hybrid_robot,adoptions,178.96666666666667,172.51731287883246,185.41602045450088
0.2,none_vs_calm,network_profit_with_inventory,-2419557238.4103026,-3248248038.460881,-1590866438.359724
0.2,none_vs_calm,fill_rate,-0.03952743292570458,-0.052614379428375685,-0.02644048642303347
0.2,none_vs_calm,satisfaction_index,-0.02267158011374722,-0.030014815422099324,-0.015328344805395116
