condition,arm,tech,firms,groups,measure,mean,ci_low,ci_high
calm,bc_scattered,blockchain,6,6,network_profit,-1536000.0,-1536000.0,-1536000.0
calm,bc_scattered,blockchain,6,6,network_profit_with_inventory,-1536000.0,-1536000.0,-1536000.0
calm,bc_scattered,blockchain,6,6,satisfaction_index,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,fill_rate,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,retail_on_time_rate,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,quality_mean,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,costs_tech,1536000.0,1536000.0,1536000.0
calm,bc_scattered,blockchain,6,6,costs_stockout,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,costs_holding,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,scrap_value,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,bullwhip_DC,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,bullwhip_MFG,0.0,0.0,0.0
calm,bc_scattered,blockchain,6,6,bullwhip_CM,0.0,0.0,0.0
calm,bc_dyads,blockchain,6,3,network_profit,13312237.767000072,13180783.209012767,13443692.324987376
calm,bc_dyads,blockchain,6,3,network_profit_with_inventory,13728924.621519215,13612115.1376924,13845734.105346031
calm,bc_dyads,blockchain,6,3,satisfaction_index,4.2904728310821924e-05,4.238417177713066e-05,4.342528484451319e-05
calm,bc_dyads,blockchain,6,3,fill_rate,1.0841024966623535e-09,-5.54629521650791e-10,2.722834514975498e-09
calm,bc_dyads,blockchain,6,3,retail_on_time_rate,0.0,0.0,0.0
calm,bc_dyads,blockchain,6,3,quality_mean,0.00021452093129786798,0.00021191824255165962,0.00021712362004407633
calm,bc_dyads,blockchain,6,3,costs_tech,3072000.0,3072000.0,3072000.0
calm,bc_dyads,blockchain,6,3,costs_stockout,-20.95333333214124,-52.64818311309617,10.741516448813687
calm,bc_dyads,blockchain,6,3,costs_holding,499568.1443333228,477185.0122026667,521951.2764639789
calm,bc_dyads,blockchain,6,3,scrap_value,-24726060.358000007,-24873498.1003261,-24578622.615673915
calm,bc_dyads,blockchain,6,3,bullwhip_DC,5.351329511930439e-06,-5.546389593903931e-06,1.624904861776481e-05
calm,bc_dyads,blockchain,6,3,bullwhip_MFG,-0.00022691592802388528,-0.0006910588277147605,0.00023722697166698986
calm,bc_dyads,blockchain,6,3,bullwhip_CM,-0.008860819977447913,-0.013760227981601918,-0.003961411973293909
calm,bc_hub_cm3,blockchain,6,1,network_profit,102164591.87700042,101617017.53579581,102712166.21820503
