rate,arm,measure,mean,ci_low,ci_high
0.0,none_vs_calm,network_profit_with_inventory,0.0,0.0,0.0
0.0,none_vs_calm,fill_rate,0.0,0.0,0.0
0.0,none_vs_calm,satisfaction_index,0.0,0.0,0.0
0.0,none_vs_calm,retail_on_time_rate,0.0,0.0,0.0
0.0,none_vs_calm,costs_stockout,0.0,0.0,0.0
0.0,none_vs_calm,costs_tech,0.0,0.0,0.0
0.0,none_vs_calm,adoptions,0.0,0.0,0.0
0.0,risk_intel,network_profit_with_inventory,-7304533.333333333,-7496456.206285083,-7112610.460381583
0.0,risk_intel,fill_rate,0.0,0.0,0.0
0.0,risk_intel,satisfaction_index,0.0,0.0,0.0
0.0,risk_intel,retail_on_time_rate,0.0,0.0,0.0
0.0,risk_intel,costs_stockout,0.0,0.0,0.0
0.0,risk_intel,costs_tech,7304533.333333333,7112610.460381583,7496456.206285083
0.0,risk_intel,adoptions,10.0,10.0,10.0
0.0,aps,network_profit_with_inventory,10269993.385343933,-6131589.849503871,26671576.620191738
0.0,aps,fill_rate,0.0010081582667011166,0.0007079200288232518,0.0013083965045789813
0.0,aps,satisfaction_index,0.0005098717349506436,0.00036304926594920374,0.0006566942039520835
0.0,aps,retail_on_time_rate,2.988936086458412e-05,-3.367029734698462e-05,9.344901907615285e-05
0.0,aps,costs_stockout,-19427477.613,-25216968.753263175,-13637986.472736828
0.0,aps,costs_tech,13145400.0,12890579.643954398,13400220.356045602
0.0,aps,adoptions,6.0,6.0,6.0
0.0,control_tower,network_profit_with_inventory,8282547.758374023,-4679266.446696744,21244361.96344479
0.0,control_tower,fill_rate,0.0006131964523028592,0.0004346634758983389,0.0007917294287073795
0.0,control_tower,satisfaction_index,0.00032611248183353665,0.00023316164481714622,0.00041906331884992705
0.0,control_tower,retail_on_time_rate,1.2557983446618663e-05,-2.1837970817643575e-05,4.6953937710880904e-05
0.0,control_tower,costs_stockout,-11814184.934333332,-15253351.846507873,-8375018.02215879
0.0,control_tower,costs_tech,31985800.15999999,31636734.57528209,32334865.74471789
0.0,control_tower,adoptions,48.0,48.0,48.0
0.0,follow,network_profit_with_inventory,246692903.4333219,213127105.18426213,280258701.68238163
0.0,follow,fill_rate,0.0006456036835977471,0.0003957524646236562,0.000895454902571838
0.0,follow,satisfaction_index,0.0004003140815216725,0.00027118145862622186,0.0005294467044171232
0.0,follow,retail_on_time_rate,1.5413979339617966e-05,-3.0267858861028964e-05,6.10958175402649e-05
0.0,follow,costs_stockout,-12441149.904666668,-17253425.892142463,-7628873.917190872
0.0,follow,costs_tech,71264566.74499999,70422444.76311694,72106688.72688304
0.0,follow,adoptions,151.13333333333333,148.2267871077099,154.03987955895676
0.0,hybrid,network_profit_with_inventory,244289576.3211652,207281110.14482823,281298042.4975022
0.0,hybrid,fill_rate,0.0009937217604719254,0.0006896957814486,0.0012977477394952508
0.0,hybrid,satisfaction_index,0.0005830157856365314,0.0004258541817546334,0.0007401773895184294
0.0,hybrid,retail_on_time_rate,2.4652015222170753e-05,-2.04330380539847e-05,6.97370684983262e-05
0.0,hybrid,costs_stockout,-19149704.969,-25008047.703557573,-13291362.234442428
0.0,hybrid,costs_tech,91115300.04333332,90059589.89375031,92171010.19291633
0.0,hybrid,adoptions,170.23333333333332,166.75886187197062,173.70780479469602
0.0,hybrid_robot,network_profit_with_inventory,273246830.46359915,235688642.85601485,310805018.07118344
0.0,hybrid_robot,fill_rate,0.0017826321020400604,0.00148465213433504,0.0020806120697450807
0.0,hybrid_robot,satisfaction_index,0.0031180167289533768,0.0027881101164704213,0.003447923341436332
0.0,hybrid_robot,retail_on_time_rate,0.00716032466533814,0.006286125325071582,0.008034524005604698
0.0,hybrid_robot,costs_stockout,-34347290.590666674,-40089327.9775651,-28605253.203768246
0.0,hybrid_robot,costs_tech,108802100.06833337,107805718.12456231,109798482.01210444
0.0,hybrid_robot,adoptions,173.9,170.24790805224902,177.552091947751
0.2,none_vs_calm,network_profit_with_inventory,-2419557238.4103026,-3248248038.460881,-1590866438.359724
0.2,none_vs_calm,fill_rate,-0.03952743292570458,-0.052614379428375685,-0.02644048642303347
0.2,none_vs_calm,satisfaction_index,-0.02267158011374722,-0.030014815422099324,-0.015328344805395116
