tech,scope,firms,measure,mean,ci_low,ci_high,base_mean,git_commit,git_dirty,run_date
blockchain,all,34,network_profit_with_inventory,49107877.28590266,22265344.253192488,75950410.31861283,41399307504.953445,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
blockchain,all,34,satisfaction_index,0.000154719132629851,7.50746610333806e-05,0.0002343636042263214,0.9614914698367085,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
blockchain,all,34,fill_rate,2.163153849229123e-07,-8.037510512257608e-08,5.130058749684007e-07,0.9835936735168377,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
blockchain,all,34,retail_on_time_rate,0.0,0.0,0.0,0.9134991801295925,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
blockchain,all,34,quality_mean,0.0007730548746868034,0.0003750640686111767,0.00117104568076243,0.9782243951970597,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
blockchain,all,34,co2_kg,3357.3654545148215,-7885.1579769159525,14599.888885945596,2975435457.861808,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
blockchain,all,34,costs_tech,5633599.89,4045163.3564290777,7222036.423570922,0.0,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
blockchain,all,34,costs_holding,1736949.2516666492,836965.1090800967,2636933.394253202,1212962200.4356668,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
blockchain,all,34,costs_shipping,17151.468666617075,-3343.736142548296,37646.673475782445,4516546662.023,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
blockchain,all,34,costs_stockout,-4164.318666669727,-9875.462327987338,1546.8249946478836,316103452.5773334,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
blockchain,all,34,scrap_value,-80695387.01600003,-122369899.35712063,-39020874.67487943,2534818648.414666,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
blockchain,all,34,costs_handling,0.5296666666399688,-0.22785285345635697,1.2871861867362946,2161722.944,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
blockchain,all,34,bullwhip_DC,5.601038149283255e-06,-1.7088507078581564e-05,2.8290583377148074e-05,8.097005523326827,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
blockchain,all,34,bullwhip_MFG,-0.00044554071431335274,-0.001186230889371895,0.0002951494607451897,23.944031385413812,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
blockchain,all,34,bullwhip_CM,0.0008712337727421489,-0.00950147634360446,0.011243943889088757,106.60575902029146,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,all,48,network_profit,42943659.91200078,19807567.232011653,66079752.59198991,42097347577.692,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,all,48,network_profit_with_inventory,35124308.71766968,19242551.778848317,51006065.65649104,41399307504.953445,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,all,48,satisfaction_index,0.0004309533161711343,0.00030709911097781897,0.0005548075213644496,0.9614914698367085,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,all,48,fill_rate,0.0008260753217950537,0.0005844398627992665,0.001067710780790841,0.9835936735168377,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,all,48,retail_on_time_rate,-1.383852814262898e-05,-5.884988859853785e-05,3.117283231327989e-05,0.9134991801295925,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
