seed,network_profit_with_inventory,fill_rate,satisfaction_index,costs_stockout,costs_tech,adoptions,coalitions,scenario,arm,gain_musd,git_commit,git_dirty,run_date
2,39436319908.936325,0.9509955122758434,0.9451665011876073,944413701.03,0.0,0,0,cm3_12w,none,0.0,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
3,39421972131.856445,0.9529574346629048,0.9458764491436896,906185412.62,0.0,0,0,cm3_12w,none,0.0,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
4,39713814148.25827,0.9572639929052796,0.9481050686817176,823317867.32,0.0,0,0,cm3_12w,none,0.0,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
5,39555924858.70638,0.953608777649895,0.948368117840672,894118196.39,0.0,0,0,cm3_12w,none,0.0,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
1,39900051466.14568,0.9548946744190174,0.9483232133090644,868864623.16,68929000.17,152,12,cm3_12w,follow_c0.25,326.3634792565613,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
2,39553654871.00112,0.949651455538958,0.9446575967747454,970316344.68,76804500.03,187,12,cm3_12w,follow_c0.25,117.33496206479644,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
3,39633346659.90284,0.9532830947234294,0.9460603796812006,899912190.98,67545000.27,154,9,cm3_12w,follow_c0.25,211.37452804639435,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
4,39819041312.07686,0.9573345941796626,0.94826981842588,821957720.31,69538500.17999999,161,12,cm3_12w,follow_c0.25,105.22716381858825,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
5,39593197156.147766,0.9534474869458452,0.9483823605233764,897226825.76,70868000.16,148,9,cm3_12w,follow_c0.25,37.27229744138336,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
1,39898834941.86395,0.9553004007161056,0.948562633757762,861049107.93,74548000.22,179,13,cm3_12w,follow_c0.5,325.14695497483063,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
2,39529357857.26839,0.9503449024864632,0.9449214447192174,956952242.34,75561500.2,179,12,cm3_12w,follow_c0.5,93.03794833206177,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
3,39702889454.919075,0.954193784887028,0.9465186898590158,882369480.59,69726500.17999999,149,12,cm3_12w,follow_c0.5,280.9173230626297,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
4,39849769296.31403,0.9577101163926404,0.9484327698971848,814723209.01,68399000.2,152,12,cm3_12w,follow_c0.5,135.95514805576323,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
5,39608506457.608925,0.9538289750046562,0.948529431980218,889874239.91,74331500.05,175,11,cm3_12w,follow_c0.5,52.58159890254211,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
1,39972500756.074005,0.9560322630732748,0.9490068842512966,846951233.83,73898000.2,150,9,cm3_12w,follow_c0.75,398.8127691848831,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
2,39590681892.861115,0.9508881964180446,0.9452790647951304,946481890.24,76962000.1,188,14,cm3_12w,follow_c0.75,154.36198392478943,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
3,39664798540.70814,0.9537457114837652,0.9463408772627282,891000761.18,69478000.2,153,11,cm3_12w,follow_c0.75,242.8264088516922,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
4,40023002573.96709,0.956899344539188,0.948162289328633,830342893.79,63655000.02,135,9,cm3_12w,follow_c0.75,309.1884257088165,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
5,39722166930.80622,0.955526818843284,0.9492851407566776,857150953.82,70764000.12,144,9,cm3_12w,follow_c0.75,166.24207209983825,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
1,39728552751.3083,0.9558575685308502,0.9488367850530096,850316375.57,87983500.08,171,10,cm3_12w,hybrid_c0.5,154.8647644191742,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
2,40202365447.76066,0.9608772773627406,0.9502883532552092,753972483.93,95264500.25,182,13,cm3_12w,hybrid_c0.5,766.0455388243332,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
3,39659063403.1573,0.9547542955471114,0.9468262029390432,871572310.72,94095000.07,175,10,cm3_12w,hybrid_c0.5,237.09127130085756,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
4,39805102942.60594,0.9580135343898516,0.9486020691721384,808877795.86,88691500.12,176,11,cm3_12w,hybrid_c0.5,91.28879434767151,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
5,39765648483.00114,0.9544979447651368,0.948763930878064,876980891.65,92092000.15,171,10,cm3_12w,hybrid_c0.5,209.72362429475402,cd7c336c4c2f5e79aa5495c4c434fcd52fe12d7f,False,2026-09-22
