rate,arm,measure,mean,ci_low,ci_high
0.0,none_vs_calm,network_profit_with_inventory,0.0,0.0,0.0
0.0,none_vs_calm,fill_rate,0.0,0.0,0.0
0.0,none_vs_calm,satisfaction_index,0.0,0.0,0.0
0.0,none_vs_calm,retail_on_time_rate,0.0,0.0,0.0
0.0,none_vs_calm,costs_stockout,0.0,0.0,0.0
0.0,none_vs_calm,costs_tech,0.0,0.0,0.0
0.0,none_vs_calm,adoptions,0.0,0.0,0.0
0.0,risk_intel,network_profit_with_inventory,-7304533.333333333,-7496456.206285083,-7112610.460381583
0.0,risk_intel,fill_rate,0.0,0.0,0.0
0.0,risk_intel,satisfaction_index,0.0,0.0,0.0
0.0,risk_intel,retail_on_time_rate,0.0,0.0,0.0
0.0,risk_intel,costs_stockout,0.0,0.0,0.0
0.0,risk_intel,costs_tech,7304533.333333333,7112610.460381583,7496456.206285083
0.0,risk_intel,adoptions,10.0,10.0,10.0
0.0,aps,network_profit_with_inventory,10269993.385343933,-6131589.849503871,26671576.620191738
0.0,aps,fill_rate,0.0010081582667011166,0.0007079200288232518,0.0013083965045789813
0.0,aps,satisfaction_index,0.0005098717349506436,0.00036304926594920374,0.0006566942039520835
0.0,aps,retail_on_time_rate,2.988936086458412e-05,-3.367029734698462e-05,9.344901907615285e-05
0.0,aps,costs_stockout,-19427477.613,-25216968.753263175,-13637986.472736828
0.0,aps,costs_tech,13145400.0,12890579.643954398,13400220.356045602
0.0,aps,adoptions,6.0,6.0,6.0
0.0,control_tower,network_profit_with_inventory,8282547.758374023,-4679266.446696744,21244361.96344479
0.0,control_tower,fill_rate,0.0006131964523028592,0.0004346634758983389,0.0007917294287073795
0.0,control_tower,satisfaction_index,0.00032611248183353665,0.00023316164481714622,0.00041906331884992705
0.0,control_tower,retail_on_time_rate,1.2557983446618663e-05,-2.1837970817643575e-05,4.6953937710880904e-05
0.0,control_tower,costs_stockout,-11814184.934333332,-15253351.846507873,-8375018.02215879
0.0,control_tower,costs_tech,31985800.15999999,31636734.57528209,32334865.74471789
0.0,control_tower,adoptions,48.0,48.0,48.0
0.0,follow,network_profit_with_inventory,233357151.36306533,200140954.01754144,266573348.70858923
0.0,follow,fill_rate,0.0006148106366676953,0.0003587726367879177,0.0008708486365474728
0.0,follow,satisfaction_index,0.0003562146395799992,0.0002240715991516924,0.000488357680008306
0.0,follow,retail_on_time_rate,9.159306199021018e-06,-3.888579329850742e-05,5.720440569654946e-05
0.0,follow,costs_stockout,-11848280.938666664,-16779425.244011264,-6917136.633322063
0.0,follow,costs_tech,70644100.07833333,69668498.15719129,71619701.99947537
0.0,follow,adoptions,152.96666666666667,149.1761865581494,156.75714677518394
0.0,hybrid,network_profit_with_inventory,227004427.16570002,191592056.61050472,262416797.72089532
0.0,hybrid,fill_rate,0.0010708133208640835,0.0007842182316469743,0.0013574084100811926
0.0,hybrid,satisfaction_index,0.000588330018869491,0.00044071338900924454,0.0007359466487297375
0.0,hybrid,retail_on_time_rate,1.546907603268514e-05,-2.8307629454192215e-05,5.924578151956249e-05
0.0,hybrid,costs_stockout,-20634857.316999998,-26158064.35417932,-15111650.279820677
0.0,hybrid,costs_tech,91122283.39566667,90109567.60217659,92134999.18915676
0.0,hybrid,adoptions,173.16666666666666,169.68335206997833,176.649981263355
0.0,hybrid_robot,network_profit_with_inventory,248305072.21325886,211684863.56173626,284925280.86478144
0.0,hybrid_robot,fill_rate,0.0017779613442906277,0.0014643545284241187,0.0020915681601571365
0.0,hybrid_robot,satisfaction_index,0.003045336382393075,0.0026770895307978416,0.0034135832339883087
0.0,hybrid_robot,retail_on_time_rate,0.007030090440345856,0.006073724204463658,0.007986456676228056
0.0,hybrid_robot,costs_stockout,-34258156.42266668,-40301508.13466246,-28214804.710670896
0.0,hybrid_robot,costs_tech,108948200.08366671,107697473.32423864,110198926.84309478
0.0,hybrid_robot,adoptions,177.03333333333333,173.38897134004526,180.6776953266214
0.2,none_vs_calm,network_profit_with_inventory,-2419557238.4103026,-3248248038.460881,-1590866438.359724
0.2,none_vs_calm,fill_rate,-0.03952743292570458,-0.052614379428375685,-0.02644048642303347
0.2,none_vs_calm,satisfaction_index,-0.02267158011374722,-0.030014815422099324,-0.015328344805395116
