condition,factor,low,high,measure,effect,ci_low,ci_high,mean_at_low,mean_at_high,git_commit,git_dirty,run_date
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_network_profit,-414256.36866666476,-1056626.4070332774,228113.669699948,333234826.6208338,332820570.2521671,037dcf6dccb3932f8037378af037d22f22ba138c,False,2026-09-25
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_network_profit_with_inventory,-247996.89202658334,-694802.2200551709,198808.43600200422,293367039.1216625,293119042.229636,037dcf6dccb3932f8037378af037d22f22ba138c,False,2026-09-25
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_satisfaction_index,-2.035277303870144e-06,-5.739451752568265e-06,1.6688971448279773e-06,0.0003629255189971578,0.00036089024169328767,037dcf6dccb3932f8037378af037d22f22ba138c,False,2026-09-25
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_fill_rate,-3.5926237262455993e-06,-1.0482448729396911e-05,3.297201276905712e-06,0.0006609487733365021,0.0006573561496102565,037dcf6dccb3932f8037378af037d22f22ba138c,False,2026-09-25
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",costs_tech,3763.750229166448,-9556.015269831005,17083.5157281639,45092467.08735416,45096230.83758333,037dcf6dccb3932f8037378af037d22f22ba138c,False,2026-09-25
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adoptions,0.05,-0.0690500683617597,0.1690500683617597,87.64583333333333,87.69583333333334,037dcf6dccb3932f8037378af037d22f22ba138c,False,2026-09-25
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",coalitions,0.008333333333333333,-0.009776677892098002,0.026443344558764667,3.714583333333333,3.722916666666667,037dcf6dccb3932f8037378af037d22f22ba138c,False,2026-09-25
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",mean_adopt_week,0.0020230726511004586,-0.07788881717403338,0.08193496247623429,43.069302998053736,43.07132607070483,037dcf6dccb3932f8037378af037d22f22ba138c,False,2026-09-25
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_ml_forecast,0.0,-0.006128140322110065,0.006128140322110065,18.804166666666667,18.804166666666667,037dcf6dccb3932f8037378af037d22f22ba138c,False,2026-09-25
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_control_tower,0.04791666666666667,-0.03714830792317018,0.13298164125650352,35.58125,35.62916666666667,037dcf6dccb3932f8037378af037d22f22ba138c,False,2026-09-25
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_rfid,0.0,0.0,0.0,22.19375,22.19375,037dcf6dccb3932f8037378af037d22f22ba138c,False,2026-09-25
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_aps,0.0,0.0,0.0,0.0,0.0,037dcf6dccb3932f8037378af037d22f22ba138c,False,2026-09-25
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_routing,-0.0020833333333333333,-0.009546928578326352,0.005380261911659684,5.93125,5.929166666666666,037dcf6dccb3932f8037378af037d22f22ba138c,False,2026-09-25
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_wh_robotics,0.0,0.0,0.0,0.0,0.0,037dcf6dccb3932f8037378af037d22f22ba138c,False,2026-09-25
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_blockchain,0.004166666666666667,-0.07595354391816073,0.08428687725149406,5.135416666666667,5.139583333333333,037dcf6dccb3932f8037378af037d22f22ba138c,False,2026-09-25
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_risk_intel,0.0,0.0,0.0,0.0,0.0,037dcf6dccb3932f8037378af037d22f22ba138c,False,2026-09-25
