seed,network_profit_with_inventory,fill_rate,satisfaction_index,costs_stockout,costs_tech,adoptions,coalitions,scenario,arm,gain_musd,git_commit,git_dirty,run_date
1,41612850873.76529,0.9863087001653288,0.9642051525949888,263735732.2,0.0,0,0,calm,none,0.0,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
2,41307813236.395164,0.9804924237331154,0.9599780682816348,375949696.04,0.0,0,0,calm,none,0.0,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
3,41222413629.20362,0.9820947464561196,0.9604367335254044,344910602.75,0.0,0,0,calm,none,0.0,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
4,41450600120.80244,0.9857028436897736,0.9621515372599648,275437624.21,0.0,0,0,calm,none,0.0,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
5,41884302678.80148,0.9903433774767416,0.96654688468557,186116282.84,0.0,0,0,calm,none,0.0,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
1,41972981695.93117,0.9876321423419332,0.9648778228770616,238242244.04,53419600.1,177,13,calm,follow_c0.5,360.13082216587827,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
2,41544401232.58233,0.98046053792557,0.9601014504426522,376564200.51,56163200.05,222,15,calm,follow_c0.5,236.5879961871643,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
3,41496780727.987686,0.9828122878791328,0.960848567933634,331088536.44,51396000.06,174,11,calm,follow_c0.5,274.36709878406526,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
4,41750861121.66601,0.9867917115945124,0.962882934886427,254460361.3,53114000.06,183,14,calm,follow_c0.5,300.26100086357116,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
5,41952405921.40894,0.989911605934515,0.9663909506267464,194438002.49,54311600.1,159,11,calm,follow_c0.5,68.10324260746002,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
1,41874395573.83268,0.9877412414030684,0.9649312373085044,236140665.33,62429000.21,198,12,calm,hybrid_c0.5,261.54470006739047,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
2,41561065483.98197,0.9812660515932942,0.9606006815420298,361040352.63,68404800.16,195,13,calm,hybrid_c0.5,253.25224758680724,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
3,41467965051.383995,0.98260139188605,0.9607814176093904,335151041.98,59042000.16,191,13,calm,hybrid_c0.5,245.55142218037415,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
4,41743916408.049835,0.9869616789306774,0.9629762987415944,251185907.14,64923200.01,184,11,calm,hybrid_c0.5,293.31628724739835,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
5,42071968559.51702,0.990010483576246,0.96643795394763,192532290.87,65782700.18,182,11,calm,hybrid_c0.5,187.66588071553804,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
1,39573687986.88912,0.9533120948639804,0.9475522566810692,899349876.03,0.0,0,0,cm3_12w,none,0.0,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
2,39436319908.936325,0.9509955122758434,0.9451665011876073,944413701.03,0.0,0,0,cm3_12w,none,0.0,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
3,39421972131.856445,0.9529574346629048,0.9458764491436896,906185412.62,0.0,0,0,cm3_12w,none,0.0,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
4,39713814148.25827,0.9572639929052796,0.9481050686817176,823317867.32,0.0,0,0,cm3_12w,none,0.0,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
5,39555924858.70638,0.953608777649895,0.948368117840672,894118196.39,0.0,0,0,cm3_12w,none,0.0,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
1,39964532036.82256,0.9556521991944268,0.9487981166395116,854272409.88,53146600.11,176,12,cm3_12w,follow_c0.5,390.84404993344117,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
2,39675840879.02706,0.9509994533456084,0.9453946230045678,944337749.61,56082400.25,209,13,cm3_12w,follow_c0.5,239.5209700907364,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
3,39686514668.46035,0.953531495756445,0.946202572096804,895127219.58,46771000.09,172,10,cm3_12w,follow_c0.5,264.54253660390475,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
4,39913683870.4295,0.9573031753788804,0.9482710653586394,822563010.61,48001000.05,180,12,cm3_12w,follow_c0.5,199.8697221712265,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
5,39661806298.06068,0.9538462283890942,0.9485750639692871,889541706.45,55089600.1,159,12,cm3_12w,follow_c0.5,105.88143935429382,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
1,39860299098.783615,0.9556611465563808,0.9487339148341202,854100053.65,66421000.27,204,13,cm3_12w,hybrid_c0.5,286.6111118944931,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
2,40291687547.21571,0.9613359263785988,0.9505534340171188,745133407.76,68352800.21,195,13,cm3_12w,hybrid_c0.5,855.3676382793884,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
3,39685756982.00029,0.9541120331748162,0.9465140607420566,883944268.49,63712000.16,190,13,cm3_12w,hybrid_c0.5,263.7848501438446,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
4,39934764172.65182,0.9577754160560826,0.9485125984302094,813465199.08,67875200.09,186,14,cm3_12w,hybrid_c0.5,220.95002439354707,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
5,39750962445.620224,0.9533954322226642,0.9481643716425072,898230094.77,64412400.12,187,12,cm3_12w,hybrid_c0.5,195.03758691384124,597be4e7d27692ef093d704a53f20852902bce0e,False,2026-09-25
