condition,factor,low,high,measure,effect,ci_low,ci_high,mean_at_low,mean_at_high,git_commit,git_dirty,run_date
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_network_profit,-157853.5397916635,-480664.02866561536,164956.94908228834,307556125.8148129,307398272.27502126,16119cc3c2ddd3617b14363e8a942a53c0db1142,False,2026-09-24
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_network_profit_with_inventory,-112774.72035285631,-343399.0234744474,117849.58276873476,280536446.21324056,280423671.4928877,16119cc3c2ddd3617b14363e8a942a53c0db1142,False,2026-09-24
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_satisfaction_index,-5.143570399863036e-07,-1.5662171867582944e-06,5.375031067856872e-07,0.0002656299775683814,0.0002651156205283951,16119cc3c2ddd3617b14363e8a942a53c0db1142,False,2026-09-24
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_fill_rate,-6.866942972115949e-07,-2.090984135009306e-06,7.175955405861163e-07,0.0004917072719119876,0.000491020577614776,16119cc3c2ddd3617b14363e8a942a53c0db1142,False,2026-09-24
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",costs_tech,-3153.1250208333136,-9601.26568843744,3295.0156467708116,34684504.177208334,34681351.0521875,16119cc3c2ddd3617b14363e8a942a53c0db1142,False,2026-09-24
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adoptions,-0.01875,-0.05709375,0.019593750000000004,58.06041666666667,58.041666666666664,16119cc3c2ddd3617b14363e8a942a53c0db1142,False,2026-09-24
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",coalitions,0.0,0.0,0.0,1.25,1.25,16119cc3c2ddd3617b14363e8a942a53c0db1142,False,2026-09-24
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",mean_adopt_week,-0.01718091026241808,-0.05231587174906305,0.017954051224226886,43.59124241783271,43.574061507570285,16119cc3c2ddd3617b14363e8a942a53c0db1142,False,2026-09-24
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_ml_forecast,0.0,0.0,0.0,15.220833333333333,15.220833333333333,16119cc3c2ddd3617b14363e8a942a53c0db1142,False,2026-09-24
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_control_tower,0.0020833333333333333,-0.0021770833333333325,0.006343749999999999,9.752083333333333,9.754166666666666,16119cc3c2ddd3617b14363e8a942a53c0db1142,False,2026-09-24
