rate,arm,measure,mean,ci_low,ci_high
0.0,none_vs_calm,network_profit_with_inventory,0.0,0.0,0.0
0.0,none_vs_calm,fill_rate,0.0,0.0,0.0
0.0,none_vs_calm,satisfaction_index,0.0,0.0,0.0
0.0,none_vs_calm,retail_on_time_rate,0.0,0.0,0.0
0.0,none_vs_calm,costs_stockout,0.0,0.0,0.0
0.0,none_vs_calm,costs_tech,0.0,0.0,0.0
0.0,none_vs_calm,adoptions,0.0,0.0,0.0
0.0,risk_intel,network_profit_with_inventory,-8192000.0,-8192000.0,-8192000.0
0.0,risk_intel,fill_rate,0.0,0.0,0.0
0.0,risk_intel,satisfaction_index,0.0,0.0,0.0
0.0,risk_intel,retail_on_time_rate,0.0,0.0,0.0
0.0,risk_intel,costs_stockout,0.0,0.0,0.0
0.0,risk_intel,costs_tech,8192000.0,8192000.0,8192000.0
0.0,risk_intel,adoptions,10.0,10.0,10.0
0.0,aps,network_profit_with_inventory,20025399.191276804,-289911.0033621378,40340709.38591574
0.0,aps,fill_rate,0.0016259222924292938,0.00132483783798487,0.0019270067468737176
0.0,aps,satisfaction_index,0.0008167816059385176,0.0006667934252216626,0.0009667697866553726
0.0,aps,retail_on_time_rate,3.10395752840605e-05,-3.600077898972015e-05,9.807992955784115e-05
0.0,aps,costs_stockout,-31329603.283333335,-37134633.29081964,-25524573.275847036
0.0,aps,costs_tech,13824000.0,13824000.0,13824000.0
0.0,aps,adoptions,6.0,6.0,6.0
0.0,control_tower,network_profit_with_inventory,62782973.65471217,44733208.5152345,80832738.79418984
0.0,control_tower,fill_rate,0.0009659579061556788,0.0007109304917766099,0.0012209853205347478
0.0,control_tower,satisfaction_index,0.0005235653769678717,0.000391619864903948,0.0006555108890317953
0.0,control_tower,retail_on_time_rate,1.3818573927796656e-05,-3.566606079674779e-05,6.33032086523411e-05
0.0,control_tower,costs_stockout,-18610441.713333335,-23523783.0055422,-13697100.42112447
0.0,control_tower,costs_tech,35072000.15999999,35072000.15999999,35072000.15999999
0.0,control_tower,adoptions,48.0,48.0,48.0
0.0,follow,network_profit_with_inventory,626426476.2781316,607249644.2261142,645603308.330149
0.0,follow,fill_rate,0.00043754569102209356,0.00013676886990248208,0.000738322512141705
0.0,follow,satisfaction_index,0.0010336554515233112,0.0008779176783214219,0.0011893932247252006
0.0,follow,retail_on_time_rate,1.1078891922881399e-05,-5.39966330539286e-05,7.61544168996914e-05
0.0,follow,costs_stockout,-8432343.667333337,-14227713.830552807,-2636973.504113866
0.0,follow,costs_tech,67399166.726,66766514.10243311,68031819.34956689
0.0,follow,adoptions,117.2,116.40706505463172,117.99293494536829
0.0,hybrid,network_profit_with_inventory,632067781.6727923,608298662.9152002,655836900.4303844
0.0,hybrid,fill_rate,0.0009418320403627112,0.0005820575023845078,0.0013016065783409145
0.0,hybrid,satisfaction_index,0.001274382735238133,0.0010868994220169794,0.0014618660484592867
0.0,hybrid,retail_on_time_rate,5.018764595177139e-05,-1.5115514575079182e-05,0.00011549080647862196
0.0,hybrid,costs_stockout,-18149373.69666667,-25082783.721111335,-11215963.672222005
0.0,hybrid,costs_tech,85606750.081,84750177.58228691,86463322.57971309
0.0,hybrid,adoptions,133.26666666666668,132.42930762265846,134.1040257106749
0.0,hybrid_robot,network_profit_with_inventory,674466993.0091234,648048987.4497592,700884998.5684876
0.0,hybrid_robot,fill_rate,0.0018795862289683663,0.0014607243700789268,0.002298448087857806
0.0,hybrid_robot,satisfaction_index,0.004526063602458382,0.0041325969628660955,0.004919530242050669
0.0,hybrid_robot,retail_on_time_rate,0.009325804426341684,0.008509822339166556,0.010141786513516812
0.0,hybrid_robot,costs_stockout,-36214958.51133334,-44285760.19976752,-28144156.82289916
0.0,hybrid_robot,costs_tech,102439250.07066666,101714798.55089353,103163701.59043978
0.0,hybrid_robot,adoptions,137.4,136.71645546017027,138.08354453982975
0.2,none_vs_calm,network_profit_with_inventory,-2419557238.4103026,-3248248038.460881,-1590866438.359724
0.2,none_vs_calm,fill_rate,-0.03952743292570458,-0.052614379428375685,-0.02644048642303347
0.2,none_vs_calm,satisfaction_index,-0.02267158011374722,-0.030014815422099324,-0.015328344805395116
0.2,none_vs_calm,retail_on_time_rate,-0.009665441208468243,-0.014079642184597226,-0.005251240232339261
