condition,factor,low,high,measure,effect,ci_low,ci_high,mean_at_low,mean_at_high,git_commit,git_dirty,run_date
calm,horizon_weeks,"(13, 52)","(52, 156)",d_satisfaction_index,0.00010923622823086134,5.7733828136815644e-05,0.00016073862832490703,0.00017276373410848265,0.000281999962339344,3d553441c7e121e8a81599d0ee4248faba5bc26f,False,2026-09-25
calm,horizon_weeks,"(13, 52)","(52, 156)",d_fill_rate,0.00020478560652737037,0.0001018134264957408,0.0003077577865589999,0.0003430216324180178,0.0005478072389453882,3d553441c7e121e8a81599d0ee4248faba5bc26f,False,2026-09-25
calm,horizon_weeks,"(13, 52)","(52, 156)",costs_tech,12596689.58075,11916777.12165671,13276602.03984329,27748947.291291665,40345636.872041665,3d553441c7e121e8a81599d0ee4248faba5bc26f,False,2026-09-25
calm,horizon_weeks,"(13, 52)","(52, 156)",adoptions,21.29375,19.510480645856205,23.077019354143793,49.4,70.69375,3d553441c7e121e8a81599d0ee4248faba5bc26f,False,2026-09-25
calm,horizon_weeks,"(13, 52)","(52, 156)",coalitions,2.2083333333333335,1.944016948830785,2.472649717835882,0.7729166666666667,2.98125,3d553441c7e121e8a81599d0ee4248faba5bc26f,False,2026-09-25
calm,horizon_weeks,"(13, 52)","(52, 156)",mean_adopt_week,4.68972972418788,3.182082399468557,6.197377048907203,40.21144721591184,44.90117694009973,3d553441c7e121e8a81599d0ee4248faba5bc26f,False,2026-09-25
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_ml_forecast,3.3354166666666667,2.7632805640336544,3.907552769299679,17.072916666666668,20.408333333333335,3d553441c7e121e8a81599d0ee4248faba5bc26f,False,2026-09-25
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_control_tower,15.439583333333333,13.856665787412304,17.022500879254363,5.522916666666666,20.9625,3d553441c7e121e8a81599d0ee4248faba5bc26f,False,2026-09-25
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_rfid,0.5791666666666667,0.2704437944067035,0.8878895389266299,21.904166666666665,22.483333333333334,3d553441c7e121e8a81599d0ee4248faba5bc26f,False,2026-09-25
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_aps,0.0,0.0,0.0,0.0,0.0,3d553441c7e121e8a81599d0ee4248faba5bc26f,False,2026-09-25
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_routing,1.7729166666666667,1.4908568449720523,2.054976488361281,4.9,6.672916666666667,3d553441c7e121e8a81599d0ee4248faba5bc26f,False,2026-09-25
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_wh_robotics,0.0,0.0,0.0,0.0,0.0,3d553441c7e121e8a81599d0ee4248faba5bc26f,False,2026-09-25
