level,comparison,measure,mean,ci_low,ci_high,share_positive
saved0_warn,risk_intel_vs_none,profit,236113353.71950328,147971677.66293707,324255029.7760695,0.8
saved0_warn,risk_intel_vs_none,fill,0.004573054167308029,0.0031406745796510715,0.006005433754964987,0.9333333333333333
saved0_warn,hybrid_vs_follow,profit,222838083.26969567,137256369.6981351,308419796.84125626,0.8333333333333334
saved0_warn,hybrid_vs_follow,fill,0.004389255247494065,0.003030842819583197,0.005747667675404933,1.0
saved1_warn,risk_intel_vs_none,profit,535789902.88616806,373549627.7676142,698030178.0047219,0.9
saved1_warn,risk_intel_vs_none,fill,0.009308296628270785,0.0067114773552808754,0.011905115901260695,1.0
saved1_warn,hybrid_vs_follow,profit,499403282.95385754,346190534.23068154,652616031.6770335,0.9333333333333333
saved1_warn,hybrid_vs_follow,fill,0.008677796157813307,0.006249095408951426,0.011106496906675188,1.0
saved2_warn,risk_intel_vs_none,profit,724194555.7992232,496644958.22696996,951744153.3714764,0.9
saved2_warn,risk_intel_vs_none,fill,0.012310661092155287,0.008682785105120222,0.015938537079190355,1.0
saved2_warn,hybrid_vs_follow,profit,665970455.2226472,462057925.2280354,869882985.2172589,0.9333333333333333
saved2_warn,hybrid_vs_follow,fill,0.01123909858729675,0.008041190171125636,0.014437007003467865,1.0
saved3_warn,risk_intel_vs_none,profit,837809590.2200909,577697642.8416483,1097921537.5985334,0.9
saved3_warn,risk_intel_vs_none,fill,0.014052322516565055,0.009945815354600523,0.018158829678529588,1.0
saved3_warn,hybrid_vs_follow,profit,803144352.6756577,547932089.1126318,1058356616.2386837,0.9333333333333333
saved3_warn,hybrid_vs_follow,fill,0.013361182192445276,0.009367670647320372,0.01735469373757018,1.0
saved2_nowarn,risk_intel_vs_none,profit,686793096.8160125,476192184.7540206,897394008.8780044,0.9
saved2_nowarn,risk_intel_vs_none,fill,0.01157361261209131,0.008225741754142422,0.014921483470040199,1.0
saved2_nowarn,hybrid_vs_follow,profit,674300077.3791584,474163728.07664835,874436426.6816684,0.9333333333333333
saved2_nowarn,hybrid_vs_follow,fill,0.011360810155495608,0.008219984202861536,0.01450163610812968,1.0
